OB_tot,C_obs,Bone_tot,Tumor_tot
21.06847903,1.813058421,100,0
21.98499935,2.895158124,100,0
10.09188786,2.468460974,81.5376989,499.1444808
3.511884731,6.147413427,55.37269287,851.4691035
